Concelho Datahora M* FG* Via,km,Natureza
Albufeira 2006:02:01 00:50:00 0 1 R. Alves Correia,,Desp. c/ capotamento
Albuf eira 2006:02:04 15:30:00 0 1 A2,"236,200",Desp. c/ capotamento
Albufeira 2006:04:12 02:15:00 0 1 Estr. Vale Pedras,,Despiste simples
Albufeira 2006:05:14 22:20:00 0 2 EN125,"69,800",Col.lat. c/ veic. em mov.
Albufeira 2006:06:09 15:50:00 0 1 A2,"231,000",Desp. c/ capotamento
Albufeira 2006:06:15 02:35:00 2 0 EN125,"74,800",Colisão frontal
Albufeira 2006:06:19 01:15:00 0 1 EN270,"12,013",Despiste simples
Albufeira 2006:07:07 12:20:00 0 1 Ladeira Eucaliptos,,Col.lat. c/ veic. em mov.
Albufeira 2006:07:15 17:20:00 0 2 EN395,"59,500",Col.lat. c/ veic. em mov.
Albufeira 2006:09:16 20:15:00 0 1 EM526-1,,Col.lat. c/ veic. em mov.
Albufeira 2006:09:22 17:30:00 1 0 Estrada Municipal,,Despiste simples
Albufeira 2006:10:07 23:45:00 0 1 EN125,"68,630",Atropelamento peões
Albufeira 2006:11:23 06:35:00 1 0 EN395,"60,970",Colisão c/ fuga
Albufeira 2006:12:21 17:20:00 0 1 EN395,"56,200",Desp. s/ dispos. retenção
Albufeira 2006:12:22 01:00:00 1 0 EM526,,Col.lat. c/ veic. em mov.
Albufeira 2006:12:30 11:30:00 0 1 R. António Silva,,Atropelamento peões
Alcoutim 2006:12:25 16:30:00 0 1 Estrada Municipal,,Desp. c/ capotamento
Aljezur 2006:06:15 08:30:00 0 1 EN120,"149,450",Colisão frontal
Aljezur 2006:06:15 13:45:00 0 1 EN120,"145,400",Colisão frontal
Aljezur 2006:06:28 14:30:00 0 1 Estrada Municipal,,Desp.c/ col. c/ veic. imob. ou obst.
Aljezur 2006:07:13 15:30:00 0 1 EN120,"139,900",Colisão frontal
Aljezur 2006:08:04 17:30:00 0 1 EN120,"131,600",Col.lat. c/ veic. em mov.
Aljezur 2006:10:22 07:00:00 0 2 EM1003,,Desp.c/ col. c/ veic. imob. ou obst.
Aljezur 2006:12:18 07:55:00 0 1 EN120,"140,000",Desp. c/ capotamento
Castro Marim 2006:07:18 16:20:00 1 0 ACC-A22,,Desp.c/ transpos. disp. ret. lateral
Castro Marim 2006:10:24 17:00:00 0 1 A22,,Col.lat. c/ veic. em mov.
Castro Marim 2006:12:17 14:30:00 0 1 EN125,"152,300",Col.lat. c/ veic. em mov.
Faro 2006:02:01 10:40:00 0 1 Estr. S. Brás,,Colisão choque em cadeia
Faro 2006:02:11 03:30:00 0 1 EM516,,Despiste simples
Faro 2006:02:11 20:15:00 0 1 R. Faro,,Despiste simples
Faro 2006:02:14 14:34:00 1 0 EN2,"732,000",Col. traseira c/ veic. em mov.
Faro 2006:02:28 16:15:00 1 0 EN125,,Despiste simples
Faro 2006:03:15 17:30:00 0 1 R. Cemitério,,Colisão c/ outras situações
Faro 2006:03:16 01:20:00 0 1 R. 1o de Maio/Tv. Ivens,,Atropelamento peões
Faro 2006:03:18 15:45:00 0 1 EM519-1,,Desp.c/ col. c/ veic. imob. ou obst.
Faro 2006:03:29 18:50:00 0 1 EN2,"735,600",Colisão frontal
Faro 2006:04:07 16:07:00 1 2 EN125,,Colisão frontal
Faro 2006:04:09 03:55:00 0 2 R. Prof. Alberto Uva,,Atropelamento c/ fuga
Faro 2006:04:14 12:20:00 0 1 EM2010,,Desp. s/ dispos. retenção
Faro 2006:05:01 14:45:00 0 1 Av. Cidade Hayward,,Col.lat. c/ veic. em mov.
Faro 2006:05:09 19:00:00 0 1 Estrada Municipal,,Colisão frontal
Faro 2006:05:21 13:40:00 0 1 Zona Industrial,,Desp. s/ dispos. retenção
Faro 2006:06:02 17:30:00 0 1 EN2,"729,850",Col.lat. c/ veic. em mov.
Faro 2006:06:05 18:25:00 1 0 EM518,,Atropelamento peões
Faro 2006:06:22 18:30:00 0 1 EM519-2,,Colisão frontal
Faro 2006:06:23 19:00:00 0 1 EM518,,Col.lat. c/ veic. em mov.
Faro 2006:06:29 19:40:00 0 3 EM520-1,,Colisão frontal
Faro 2006:06:29 22:25:00 0 1 EM2022,,Desp. s/ dispos. retenção
Faro 2006:07:02 16:50:00 0 1 A22,"80,090",Desp.c/ col. c/ veic. imob. ou obst.
Faro 2006:07:22 06:48:00 0 1 Av. República,,Col.lat. c/ veic. em mov.
Faro 2006:07:26 22:30:00 0 1 EN125-10,"0,500",Despiste simples
Faro 2006:07:29 19:50:00 0 3 EM2004,,Desp.c/ col. c/ veic. imob. ou obst.
Faro,2006:08:11 23:35:00,0,1,EM2023,,Atropelamento peões
Faro,2006:08:25 09:10:00,0,1,Av. Calouste Gulbenkian,,Col.lat. c/ veic. em mov.
Faro,2006:09:08 08:00:00,0,1,Av. 5 de Outubro,,Col.lat. c/ veic. em mov.
Faro,2006:09:24 21:00:00,0,1,A22,"79,750",Despiste simples
Faro,2006:10:10 22:40:00,0,1,EM520-2,,Despiste simples
Tavira,2006:10:30 10:45:00,0,1,EN125,,"132,900",Atropelamento peões
Vila do Bispo,2006:12:14 22:40:00,0,1,EN268,,"2,076",Col.c/ veic. ou obst. faixa rod.
V. R. Sto. António,2006:01:24 20:00:00,0,1,R. S. Gonçalo,,,Desp.c/ col. c/ veic. imob. ou obst.
V. R. Sto. António,2006:02:07 17:10:00,0,1,EM1244,,,Colisão frontal
V. R. Sto. António,2006:02:12 14:45:00,0,1,EN125,,"153,000",Col.lat. c/ veic. em mov.
V. R. Sto. António,2006:04:25 16:30:00,1,0,EN124,,"114,400",Desp.c/ col. c/ veic. imob. ou obst.
V. R. Sto. António,2006:04:30 08:05:00,1,0,EM509,,,Atropelamento c/ fuga
V. R. Sto. António,2006:05:07 20:45:00,1,0,EN125,"149,200",Despiste simples
V. R. Sto. António,2006:05:16 18:10:00,1,0,EN125,"144,300",Col.lat. c/ veic. em mov.
V. R. Sto. António,2006:10:21 21:30:00,1,1,EM1248,,Desp. c/ capotamento
V. R. Sto. António,2006:11:12 00:45:00,0,1,EN125,"154,500",Atropelamento peões
